diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
source_mat_id error,ws,source_mat_id,33,EMOBON_NRMCB_Wa_33,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,34,EMOBON_NRMCB_Wa_34,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,35,EMOBON_NRMCB_Wa_35,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,36,EMOBON_NRMCB_Wa_36,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,37,EMOBON_NRMCB_Wa_37,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,38,EMOBON_NRMCB_Wa_38,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,39,EMOBON_NRMCB_Wa_39,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,40,EMOBON_NRMCB_Wa_40,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,41,EMOBON_NRMCB_Wa_41,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,42,EMOBON_NRMCB_Wa_42,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,43,EMOBON_NRMCB_Wa_43,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,44,EMOBON_NRMCB_Wa_44,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,45,EMOBON_NRMCB_Wa_45,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,46,EMOBON_NRMCB_Wa_46,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,47,EMOBON_NRMCB_Wa_47,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,48,EMOBON_NRMCB_Wa_48,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,49,EMOBON_NRMCB_Wa_49,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,50,EMOBON_NRMCB_Wa_50,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,51,EMOBON_NRMCB_Wa_51,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,52,EMOBON_NRMCB_Wa_52,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,53,EMOBON_NRMCB_Wa_53,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,54,EMOBON_NRMCB_Wa_54,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,55,EMOBON_NRMCB_Wa_55,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,56,EMOBON_NRMCB_Wa_56,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,57,EMOBON_NRMCB_Wa_57,,source_mat_id should match ^EMOBON_NRMCB_Wa_211026_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
